frame_idx,id,label,confidence,x1,y1,x2,y2,center_x,unity_x,unity_z
813,1,Bollard,0.323,901.1,816.9,1033.6,1449.6,967.3,3.17,6.37
813,2,Person,0.22,88.5,670.1,253.2,1069.9,170.8,-2.73,8.63
814,98,Bollard,0.43,895.9,795.1,1033.8,1453.3,964.8,3.15,6.35
815,98,Bollard,0.388,894.5,801.4,1033.1,1462.5,963.8,3.14,6.29
816,98,Bollard,0.352,892.0,797.6,1031.9,1464.3,962.0,3.13,6.28
817,98,Bollard,0.316,887.3,782.6,1031.7,1469.2,959.5,3.11,6.26
818,101,Bollard,0.502,218.6,807.6,282.7,1016.2,250.7,-2.14,8.95
819,98,Bollard,0.249,879.4,750.3,1032.1,1474.6,955.8,3.08,6.22
820,98,Bollard,0.275,879.2,741.3,1035.4,1483.5,957.3,3.09,6.17
821,98,Bollard,0.365,884.9,789.7,1033.3,1493.7,959.1,3.1,6.11
821,103,Bollard,0.428,204.9,844.1,263.5,1041.2,234.2,-2.27,8.8
822,98,Bollard,0.348,888.7,829.4,1034.7,1522.6,961.7,3.12,5.94
822,103,Bollard,0.122,205.4,882.4,259.0,1062.9,232.2,-2.28,8.67
823,98,Bollard,0.412,895.6,867.1,1037.8,1545.5,966.7,3.16,5.8
823,103,Bollard,0.447,203.9,887.5,260.5,1077.2,232.2,-2.28,8.59
824,98,Bollard,0.451,900.3,889.5,1038.8,1553.4,969.5,3.18,5.75
824,103,Bollard,0.149,199.3,884.9,253.6,1065.4,226.4,-2.32,8.66
825,98,Bollard,0.475,898.4,887.7,1037.7,1556.6,968.1,3.17,5.73
825,103,Bollard,0.453,186.2,857.3,245.7,1053.8,215.9,-2.4,8.73
826,98,Bollard,0.464,901.6,900.4,1038.5,1561.6,970.0,3.19,5.7
827,98,Bollard,0.102,920.0,1033.6,1034.3,1578.5,977.2,3.24,5.6
828,98,Bollard,0.307,914.1,1029.3,1036.5,1613.5,975.3,3.22,5.4
828,103,Bollard,0.378,171.4,881.9,233.1,1085.3,202.3,-2.5,8.54
829,98,Bollard,0.375,906.3,1014.6,1038.9,1652.2,972.6,3.2,5.17
829,103,Bollard,0.113,162.1,911.2,220.9,1104.3,191.5,-2.58,8.43
830,103,Bollard,0.379,168.2,928.5,222.2,1104.2,195.2,-2.55,8.43
831,1,Bollard,0.468,547.3,893.9,612.7,1078.1,580.0,0.3,8.58
832,1,Bollard,0.135,560.9,885.0,615.6,1064.0,588.3,0.36,8.67
833,1,Bollard,0.158,570.9,863.9,630.8,1047.6,600.9,0.45,8.76
833,2,Bollard,0.108,925.1,878.6,996.8,1067.9,960.9,3.12,8.64
834,1,Bollard,0.146,576.2,859.1,635.1,1042.8,605.7,0.49,8.79
836,1,Bollard,0.32,598.1,853.8,666.5,1034.5,632.3,0.68,8.84
837,1,Bollard,0.349,611.7,836.3,676.3,1025.7,644.0,0.77,8.89
838,1,Bollard,0.287,629.6,822.6,690.8,1012.4,660.2,0.89,8.97
840,1,Bollard,0.472,653.7,812.9,726.5,1005.2,690.1,1.11,9.02
840,2,Bollard,0.149,424.6,805.3,481.8,905.2,453.2,-0.64,9.61
841,114,Bollard,0.466,658.4,824.1,732.0,1018.3,695.2,1.15,8.94
842,114,Bollard,0.139,664.0,844.0,736.3,1035.1,700.2,1.19,8.84
845,1,Bollard,0.263,711.3,841.3,785.1,1035.4,748.2,1.54,8.84
848,1,Bollard,0.412,766.7,855.2,842.1,1062.4,804.4,1.96,8.68
849,116,Bollard,0.416,769.8,864.6,843.4,1067.1,806.6,1.97,8.65
850,116,Bollard,0.386,771.5,862.3,846.3,1068.0,808.9,1.99,8.64
851,1,Bollard,0.251,779.4,849.7,856.5,1060.6,817.9,2.06,8.69
852,116,Bollard,0.325,782.1,840.0,856.9,1045.8,819.5,2.07,8.77
853,116,Bollard,0.503,780.0,831.8,855.9,1040.9,817.9,2.06,8.8
854,116,Bollard,0.472,775.7,828.7,851.4,1037.2,813.6,2.03,8.83
855,116,Bollard,0.42,771.7,826.5,847.4,1035.5,809.5,2.0,8.84
856,116,Bollard,0.358,768.4,822.5,844.0,1031.6,806.2,1.97,8.86
857,1,Bollard,0.287,498.9,806.9,551.5,902.6,525.2,-0.11,9.63
857,2,Bollard,0.172,765.1,820.8,837.7,1031.8,801.4,1.94,8.86
